stringA,stringB,itemNumber,type
exturea,limanol,16,original
domeave,shoureg,7,original
nothrog,montsim,11,original
engstin,filisma,31,original
systina,clarral,14,original
premser,groctsi,10,original
howseri,becadev,22,original
avelian,thregul,13,original
lifinta,raddreg,6,original
incleas,sanybon,25,original
anceste,bollyze,49,original
pritent,partify,37,original
whetesi,suprovi,45,original
tessina,prousup,48,original
ausenus,throdyn,8,original
weastin,rembrob,38,original
hastems,pachang,34,original
fainges,benervi,1,original
anotain,himumma,46,original
somersi,larlize,23,original
sectori,belysty,39,original
dessaga,devervi,19,original
worinta,togriva,21,original
vernion,gramile,15,original
pertice,proundi,33,original
grashin,delpith,2,original
advical,trinche,36,original
posiver,sounano,18,original
servica,pargest,4,original
fityrud,sersice,43,original
moutlem,arthrol,24,original
varketa,throuss,9,original
pervica,slanoth,29,original
wiligna,materal,30,original
suppopp,tatinse,50,original
prounds,rousent,35,original
howinge,thervil,3,original
jusessa,telcout,20,original
suption,montems,12,original
probble,slannet,44,original
commedi,englita,26,original
devivar,mestins,32,original
specity,deffent,17,original
suprega,refends,28,original
morying,anottac,42,original
pranomp,arcents,40,original
qualrev,meentra,47,original
shouges,anathly,5,original
dolsimp,clester,41,original
forings,strewri,27,original
anceste,dolsimp,132,new
fainges,thregul,52,new
partify,mestins,103,new
clarral,incleas,87,new
weastin,limanol,97,new
slannet,thregul,94,new
arcents,specity,113,new
pritent,probble,143,new
advical,worinta,118,new
pachang,arcents,134,new
somersi,suppopp,121,new
anathly,bollyze,141,new
sanybon,lifinta,73,new
shoureg,anceste,105,new
engstin,specity,81,new
dessaga,thregul,51,new
suption,thervil,57,new
pritent,devivar,117,new
tatinse,suption,137,new
larlize,tatinse,130,new
clester,becadev,119,new
howseri,forings,84,new
tessina,posiver,135,new
whetesi,becadev,108,new
sounano,belysty,115,new
nothrog,posiver,79,new
posiver,fainges,76,new
varketa,sersice,96,new
montsim,dessaga,65,new
wiligna,nothrog,82,new
nothrog,shoureg,61,new
larlize,sectori,93,new
weastin,dolsimp,136,new
rousent,devivar,91,new
englita,shoureg,59,new
belysty,nothrog,107,new
montems,devivar,83,new
worinta,throdyn,70,new
dessaga,groctsi,54,new
himumma,arthrol,149,new
thregul,throuss,58,new
throdyn,fainges,67,new
belysty,engstin,133,new
systina,forings,90,new
dolsimp,mestins,142,new
pertice,grashin,62,new
clester,moutlem,106,new
himumma,exturea,126,new
pachang,vernion,88,new
sanybon,sersice,100,new
tatinse,devervi,145,new
probble,whetesi,123,new
sanybon,premser,71,new
varketa,hastems,89,new
moutlem,mestins,98,new
togriva,anotain,101,new
pranomp,materal,122,new
limanol,sounano,63,new
suppopp,mestins,128,new
pranomp,slanoth,150,new
tessina,suprovi,146,new
raddreg,deffent,53,new
suprovi,delpith,110,new
systina,posiver,56,new
premser,dolsimp,120,new
howinge,lifinta,78,new
whetesi,partify,124,new
suppopp,arthrol,148,new
fainges,larlize,75,new
suption,incleas,69,new
pranomp,meentra,131,new
limanol,exturea,74,new
worinta,varketa,77,new
materal,thregul,86,new
dolsimp,sersice,139,new
ausenus,commedi,80,new
devervi,sersice,99,new
worinta,clarral,66,new
pachang,systina,85,new
limanol,anathly,60,new
pargest,suprovi,116,new
sectori,devervi,92,new
bollyze,telcout,140,new
benervi,delpith,72,new
telcout,morying,111,new
tessina,shouges,109,new
clarral,slannet,95,new
suppopp,worinta,144,new
weastin,filisma,112,new
slanoth,suprovi,127,new
refends,grashin,68,new
suppopp,systina,129,new
wiligna,slannet,125,new
hastems,suprovi,147,new
montems,thregul,55,new
domeave,dolsimp,102,new
throdyn,strewri,64,new
strewri,probble,138,new
mestins,filisma,114,new
moutlem,whetesi,104,new
