stringA,stringB,itemNumber,type
angessa,dockles,31,original
hignoth,mempise,9,original
messago,numersi,3,original
amatera,finglam,44,original
chertin,bomysta,36,original
thramon,shaptur,17,original
talisti,witypro,38,original
screnta,prompan,40,original
tueredo,proffin,42,original
retsits,howaymb,48,original
smadian,dispont,2,original
segessa,webruic,41,original
ancessa,digiday,39,original
sersimi,mervirs,21,original
scrunne,menclar,5,original
prensta,chanywa,32,original
cortsio,gremsev,24,original
sertsim,compide,29,original
heashes,supplic,49,original
mesimie,dakinge,23,original
nathess,proffic,47,original
kentsia,locidev,27,original
crivere,uranged,12,original
plareed,throvic,20,original
bengsta,maricts,4,original
quingel,opelese,45,original
articlu,loarlai,14,original
disingu,perecti,33,original
commari,thinatu,30,original
wilysta,systess,25,original
grappor,mestead,43,original
strompa,agallea,13,original
prothly,afrithe,34,original
allopti,walthel,10,original
subvick,octeste,50,original
rundsop,mesects,35,original
allysti,spanoth,15,original
comorti,tessigg,1,original
engally,splenne,28,original
larshic,persica,6,original
abysted,pariono,11,original
clopect,caltsio,16,original
expisho,mesterf,26,original
vervide,relysta,19,original
micaust,ostallo,22,original
iningla,asplati,7,original
betwerv,wessish,18,original
currimi,memsere,37,original
defasom,forsith,8,original
quarban,edisted,46,original
grappor,screnta,130,new
persica,mempise,68,new
talisti,subvick,131,new
gremsev,angessa,92,new
edisted,menclar,117,new
forsith,defasom,66,new
dakinge,bengsta,59,new
quarban,kentsia,150,new
edisted,micaust,133,new
numersi,tessigg,74,new
talisti,dockles,106,new
digiday,asplati,83,new
grappor,wessish,114,new
dockles,mesimie,94,new
digiday,prensta,145,new
compide,scrunne,64,new
articlu,plareed,69,new
proffic,systess,132,new
caltsio,proffin,111,new
octeste,uranged,134,new
opelese,menclar,119,new
compide,thinatu,107,new
proffic,tueredo,148,new
quingel,chertin,140,new
perecti,finglam,136,new
dakinge,edisted,146,new
allysti,sertsim,82,new
betwerv,talisti,116,new
strompa,smadian,76,new
afrithe,howaymb,126,new
nathess,grappor,125,new
ancessa,mervirs,105,new
spanoth,quarban,129,new
chertin,witypro,138,new
menclar,smadian,51,new
plareed,abysted,55,new
uranged,cortsio,80,new
shaptur,smadian,71,new
tueredo,webruic,149,new
finglam,wessish,113,new
loarlai,menclar,79,new
defasom,mesimie,54,new
mestead,betwerv,102,new
expisho,screnta,93,new
prompan,crivere,120,new
expisho,retsits,143,new
amatera,iningla,103,new
edisted,clopect,98,new
mesects,witypro,142,new
nathess,defasom,110,new
ancessa,commari,97,new
engally,perecti,109,new
chanywa,spanoth,85,new
compide,smadian,77,new
thramon,supplic,137,new
heashes,wilysta,123,new
cortsio,larshic,62,new
loarlai,allopti,57,new
mesimie,prothly,100,new
memsere,vervide,115,new
ostallo,quarban,139,new
betwerv,tessigg,78,new
nathess,dakinge,122,new
loarlai,howaymb,127,new
tessigg,comorti,72,new
webruic,persica,96,new
chertin,bomysta,124,new
persica,dispont,56,new
compide,screnta,91,new
wessish,larshic,70,new
thramon,disingu,89,new
angessa,mempise,86,new
plareed,currimi,101,new
heashes,micaust,121,new
amatera,mempise,99,new
scrunne,supplic,135,new
betwerv,retsits,147,new
mesterf,allysti,87,new
rundsop,afrithe,95,new
uranged,segessa,104,new
persica,quarban,108,new
betwerv,screnta,118,new
messago,locidev,73,new
angessa,prothly,112,new
prothly,mestead,141,new
comorti,sertsim,75,new
throvic,mesterf,84,new
larshic,agallea,60,new
proffin,retsits,128,new
gremsev,loarlai,90,new
systess,gremsev,81,new
betwerv,bengsta,61,new
thramon,iningla,63,new
engally,tessigg,58,new
opelese,disingu,144,new
compide,cortsio,88,new
vervide,asplati,65,new
allopti,cortsio,52,new
numersi,spanoth,53,new
iningla,persica,67,new
