stringA,stringB,itemNumber,type
materal,wiligna,30,original
dessaga,devervi,19,original
telcout,jusessa,20,original
fainges,benervi,1,original
anceste,bollyze,49,original
rousent,prounds,35,original
incleas,sanybon,25,original
hastems,pachang,34,original
meentra,qualrev,47,original
lifinta,raddreg,6,original
tessina,prousup,48,original
anottac,morying,42,original
avelian,thregul,13,original
pritent,partify,37,original
sounano,posiver,18,original
throuss,varketa,9,original
weastin,rembrob,38,original
pertice,proundi,33,original
nothrog,montsim,11,original
tatinse,suppopp,50,original
thervil,howinge,3,original
engstin,filisma,31,original
trinche,advical,36,original
anathly,shouges,5,original
sersice,fityrud,43,original
becadev,howseri,22,original
groctsi,premser,10,original
larlize,somersi,23,original
clarral,systina,14,original
grashin,delpith,2,original
servica,pargest,4,original
throdyn,ausenus,8,original
pranomp,arcents,40,original
pervica,slanoth,29,original
moutlem,arthrol,24,original
suprovi,whetesi,45,original
himumma,anotain,46,original
limanol,exturea,16,original
belysty,sectori,39,original
commedi,englita,26,original
forings,strewri,27,original
devivar,mestins,32,original
probble,slannet,44,original
specity,deffent,17,original
togriva,worinta,21,original
dolsimp,clester,41,original
shoureg,domeave,7,original
gramile,vernion,15,original
suprega,refends,28,original
suption,montems,12,original
worinta,dolsimp,105,new
posiver,anottac,110,new
fainges,shoureg,80,new
deffent,suprovi,127,new
anceste,groctsi,135,new
fainges,grashin,71,new
pritent,limanol,83,new
qualrev,domeave,109,new
rousent,pachang,99,new
montems,varketa,53,new
prounds,refends,119,new
raddreg,pargest,73,new
montsim,arthrol,58,new
incleas,posiver,87,new
advical,pertice,104,new
limanol,sounano,75,new
belysty,sersice,131,new
becadev,premser,79,new
worinta,posiver,89,new
throuss,servica,69,new
proundi,throuss,82,new
prousup,slanoth,138,new
tatinse,devivar,145,new
shouges,thervil,61,new
arcents,becadev,96,new
throuss,himumma,92,new
montems,raddreg,76,new
benervi,systina,59,new
himumma,vernion,147,new
vernion,howinge,54,new
slanoth,rembrob,101,new
howinge,anottac,88,new
somersi,shouges,74,new
strewri,raddreg,64,new
suprovi,telcout,125,new
engstin,commedi,118,new
prounds,anottac,146,new
meentra,limanol,100,new
tessina,forings,148,new
anotain,suppopp,149,new
prounds,nothrog,90,new
slannet,clarral,114,new
qualrev,worinta,150,new
suprovi,sectori,143,new
gramile,deffent,62,new
shouges,whetesi,97,new
jusessa,anottac,107,new
engstin,shouges,72,new
lifinta,qualrev,115,new
incleas,suppopp,142,new
anathly,fityrud,106,new
becadev,anceste,137,new
somersi,prousup,133,new
howinge,weastin,86,new
bollyze,telcout,134,new
thervil,forings,65,new
morying,pritent,144,new
himumma,somersi,139,new
posiver,nothrog,67,new
becadev,mestins,81,new
filisma,materal,120,new
prounds,premser,84,new
worinta,clarral,60,new
prousup,lifinta,126,new
ausenus,servica,78,new
benervi,vernion,77,new
probble,sounano,117,new
proundi,materal,113,new
throdyn,domeave,56,new
weastin,rembrob,129,new
pachang,incleas,108,new
qualrev,tatinse,132,new
arcents,wiligna,103,new
jusessa,avelian,66,new
shoureg,delpith,51,new
pertice,forings,91,new
refends,suprega,102,new
throuss,shouges,52,new
partify,sectori,124,new
filisma,arcents,111,new
suprovi,anceste,128,new
jusessa,throuss,70,new
wiligna,arthrol,116,new
refends,pranomp,95,new
anathly,suprega,55,new
engstin,suppopp,122,new
tessina,advical,130,new
anceste,dolsimp,140,new
groctsi,howseri,68,new
pertice,devervi,85,new
rousent,jusessa,94,new
forings,sectori,112,new
hastems,rembrob,123,new
weastin,himumma,141,new
suption,ausenus,57,new
sounano,prounds,93,new
pertice,morying,136,new
refends,forings,98,new
prounds,tatinse,121,new
telcout,shoureg,63,new
