stringA,stringB,itemNumber,type
segessa,webruic,41,original
tueredo,proffin,42,original
asplati,iningla,7,original
talisti,witypro,38,original
scrunne,menclar,5,original
afrithe,prothly,34,original
opelese,quingel,45,original
mesterf,expisho,26,original
thinatu,commari,30,original
persica,larshic,6,original
heashes,supplic,49,original
plareed,throvic,20,original
smadian,dispont,2,original
walthel,allopti,10,original
caltsio,clopect,16,original
bengsta,maricts,4,original
wessish,betwerv,18,original
memsere,currimi,37,original
mesimie,dakinge,23,original
pariono,abysted,11,original
thramon,shaptur,17,original
sersimi,mervirs,21,original
spanoth,allysti,15,original
sertsim,compide,29,original
messago,numersi,3,original
digiday,ancessa,39,original
engally,splenne,28,original
strompa,agallea,13,original
prompan,screnta,40,original
howaymb,retsits,48,original
locidev,kentsia,27,original
uranged,crivere,12,original
subvick,octeste,50,original
disingu,perecti,33,original
comorti,tessigg,1,original
bomysta,chertin,36,original
gremsev,cortsio,24,original
mempise,hignoth,9,original
finglam,amatera,44,original
micaust,ostallo,22,original
articlu,loarlai,14,original
rundsop,mesects,35,original
wilysta,systess,25,original
proffic,nathess,47,original
dockles,angessa,31,original
chanywa,prensta,32,original
vervide,relysta,19,original
defasom,forsith,8,original
grappor,mestead,43,original
quarban,edisted,46,original
retsits,proffic,150,new
memsere,webruic,129,new
pariono,quarban,95,new
proffic,plareed,121,new
locidev,chertin,118,new
dispont,kentsia,54,new
spanoth,locidev,89,new
scrunne,dispont,80,new
bengsta,locidev,76,new
caltsio,expisho,84,new
larshic,splenne,66,new
quingel,talisti,124,new
iningla,mesimie,55,new
edisted,chanywa,125,new
scrunne,finglam,102,new
rundsop,nathess,143,new
shaptur,screnta,109,new
currimi,loarlai,92,new
perecti,articlu,85,new
mestead,engally,136,new
bomysta,perecti,117,new
angessa,commari,101,new
bomysta,scrunne,86,new
smadian,finglam,96,new
grappor,sertsim,140,new
heashes,webruic,131,new
vervide,asplati,74,new
uranged,persica,62,new
mesimie,locidev,88,new
betwerv,crivere,56,new
dockles,messago,64,new
perecti,grappor,137,new
abysted,relysta,79,new
bengsta,numersi,77,new
cortsio,mervirs,82,new
larshic,amatera,97,new
thinatu,engally,120,new
locidev,memsere,113,new
numersi,systess,67,new
webruic,thramon,114,new
caltsio,throvic,59,new
locidev,splenne,91,new
betwerv,hignoth,69,new
larshic,kentsia,65,new
relysta,clopect,51,new
dockles,sertsim,106,new
commari,wessish,87,new
chertin,proffin,145,new
chanywa,opelese,128,new
asplati,expisho,75,new
talisti,comorti,81,new
gremsev,tessigg,53,new
pariono,wilysta,60,new
angessa,mempise,90,new
allopti,cortsio,57,new
finglam,pariono,98,new
walthel,uranged,71,new
expisho,screnta,108,new
heashes,maricts,99,new
relysta,quingel,148,new
mestead,compide,130,new
heashes,uranged,142,new
mesterf,witypro,93,new
wilysta,tueredo,119,new
dispont,walthel,78,new
walthel,maricts,61,new
grappor,wessish,112,new
cortsio,prothly,103,new
afrithe,prompan,133,new
prensta,gremsev,110,new
quingel,screnta,146,new
mesimie,prompan,107,new
heashes,betwerv,132,new
ancessa,prompan,126,new
chertin,chanywa,100,new
grappor,plareed,116,new
ostallo,quarban,147,new
shaptur,smadian,58,new
micaust,ancessa,105,new
webruic,octeste,122,new
tueredo,quarban,127,new
supplic,screnta,149,new
compide,bengsta,68,new
comorti,prensta,52,new
larshic,ostallo,63,new
witypro,heashes,144,new
abysted,thramon,72,new
scrunne,clopect,70,new
mervirs,segessa,115,new
tueredo,commari,134,new
opelese,expisho,135,new
allysti,perecti,83,new
digiday,retsits,139,new
smadian,proffic,94,new
talisti,bomysta,141,new
throvic,bengsta,73,new
screnta,prompan,138,new
vervide,tueredo,111,new
tessigg,subvick,123,new
edisted,numersi,104,new
