stringA,stringB,itemNumber,type
arthrol,moutlem,24,original
hastems,pachang,34,original
vernion,gramile,15,original
weastin,rembrob,38,original
whetesi,suprovi,45,original
delpith,grashin,2,original
sectori,belysty,39,original
anceste,bollyze,49,original
dessaga,devervi,19,original
pertice,proundi,33,original
systina,clarral,14,original
materal,wiligna,30,original
slanoth,pervica,29,original
engstin,filisma,31,original
anottac,morying,42,original
somersi,larlize,23,original
howseri,becadev,22,original
lifinta,raddreg,6,original
refends,suprega,28,original
meentra,qualrev,47,original
trinche,advical,36,original
throuss,varketa,9,original
domeave,shoureg,7,original
deffent,specity,17,original
anathly,shouges,5,original
groctsi,premser,10,original
commedi,englita,26,original
sanybon,incleas,25,original
forings,strewri,27,original
limanol,exturea,16,original
prousup,tessina,48,original
togriva,worinta,21,original
jusessa,telcout,20,original
thregul,avelian,13,original
pranomp,arcents,40,original
howinge,thervil,3,original
montsim,nothrog,11,original
suption,montems,12,original
partify,pritent,37,original
devivar,mestins,32,original
benervi,fainges,1,original
fityrud,sersice,43,original
prounds,rousent,35,original
himumma,anotain,46,original
probble,slannet,44,original
servica,pargest,4,original
suppopp,tatinse,50,original
dolsimp,clester,41,original
throdyn,ausenus,8,original
posiver,sounano,18,original
shouges,whetesi,99,new
materal,pranomp,137,new
engstin,probble,129,new
specity,systina,56,new
pargest,sanybon,53,new
morying,sounano,98,new
devivar,deffent,90,new
clester,rembrob,121,new
fainges,pachang,86,new
prounds,worinta,96,new
slannet,filisma,131,new
hastems,forings,111,new
proundi,anceste,141,new
jusessa,throuss,54,new
hastems,proundi,115,new
somersi,clarral,58,new
howinge,arthrol,77,new
sersice,limanol,119,new
devervi,arcents,105,new
trinche,howinge,83,new
larlize,nothrog,51,new
moutlem,hastems,103,new
advical,slannet,124,new
commedi,exturea,85,new
suption,thervil,68,new
throuss,pranomp,114,new
clarral,anathly,67,new
exturea,pervica,82,new
pranomp,domeave,94,new
hastems,togriva,95,new
groctsi,refends,81,new
howinge,sounano,66,new
varketa,sersice,108,new
posiver,rousent,88,new
montems,thregul,78,new
sersice,morying,148,new
thregul,anathly,74,new
nothrog,prousup,130,new
groctsi,anceste,128,new
commedi,materal,104,new
slanoth,pranomp,135,new
sersice,bollyze,140,new
anotain,qualrev,146,new
materal,wiligna,93,new
throdyn,fainges,72,new
gramile,tatinse,136,new
shouges,deffent,79,new
deffent,probble,92,new
togriva,throuss,65,new
delpith,raddreg,69,new
shouges,somersi,59,new
slannet,pervica,126,new
pritent,shouges,87,new
morying,whetesi,122,new
materal,suprovi,139,new
refends,pervica,118,new
grashin,anathly,75,new
meentra,gramile,113,new
anceste,sanybon,145,new
clester,clarral,107,new
sanybon,clester,102,new
weastin,prousup,132,new
shoureg,nothrog,57,new
advical,anotain,125,new
englita,suprovi,133,new
howinge,whetesi,117,new
mestins,rembrob,106,new
tessina,bollyze,134,new
bollyze,vernion,147,new
tessina,partify,149,new
weastin,devervi,100,new
sersice,belysty,127,new
slanoth,throdyn,73,new
groctsi,lifinta,62,new
shoureg,howseri,64,new
mestins,filisma,97,new
bollyze,mestins,138,new
throdyn,worinta,80,new
thervil,probble,91,new
varketa,tessina,120,new
premser,bollyze,123,new
sanybon,delpith,70,new
moutlem,thervil,55,new
suption,throuss,52,new
morying,materal,143,new
throuss,varketa,60,new
dessaga,qualrev,150,new
fainges,partify,84,new
varketa,premser,61,new
belysty,nothrog,110,new
strewri,howinge,76,new
filisma,rousent,116,new
proundi,weastin,101,new
commedi,anceste,144,new
arcents,suprega,112,new
vernion,probble,109,new
worinta,benervi,71,new
arthrol,himumma,142,new
specity,slanoth,89,new
delpith,shouges,63,new
