stringA,stringB,itemNumber,type
caltsio,clopect,16,original
talisti,witypro,38,original
chertin,bomysta,36,original
crivere,uranged,12,original
asplati,iningla,7,original
screnta,prompan,40,original
amatera,finglam,44,original
memsere,currimi,37,original
segessa,webruic,41,original
thramon,shaptur,17,original
mestead,grappor,43,original
messago,numersi,3,original
persica,larshic,6,original
tueredo,proffin,42,original
smadian,dispont,2,original
mesterf,expisho,26,original
octeste,subvick,50,original
cortsio,gremsev,24,original
splenne,engally,28,original
bengsta,maricts,4,original
sertsim,compide,29,original
mesimie,dakinge,23,original
agallea,strompa,13,original
nathess,proffic,47,original
forsith,defasom,8,original
commari,thinatu,30,original
locidev,kentsia,27,original
chanywa,prensta,32,original
supplic,heashes,49,original
prothly,afrithe,34,original
digiday,ancessa,39,original
wilysta,systess,25,original
quarban,edisted,46,original
mervirs,sersimi,21,original
allysti,spanoth,15,original
disingu,perecti,33,original
throvic,plareed,20,original
dockles,angessa,31,original
rundsop,mesects,35,original
abysted,pariono,11,original
comorti,tessigg,1,original
quingel,opelese,45,original
menclar,scrunne,5,original
betwerv,wessish,18,original
mempise,hignoth,9,original
micaust,ostallo,22,original
articlu,loarlai,14,original
vervide,relysta,19,original
howaymb,retsits,48,original
allopti,walthel,10,original
strompa,tueredo,105,new
expisho,amatera,110,new
larshic,mesimie,56,new
mempise,thramon,55,new
allopti,chertin,83,new
mesterf,chanywa,92,new
shaptur,opelese,119,new
amatera,supplic,145,new
relysta,micaust,82,new
locidev,segessa,103,new
proffin,mestead,149,new
shaptur,nathess,102,new
memsere,grappor,130,new
spanoth,dispont,68,new
messago,grappor,114,new
mestead,articlu,91,new
ostallo,dockles,86,new
locidev,bengsta,66,new
numersi,persica,74,new
talisti,shaptur,101,new
prothly,ancessa,124,new
menclar,nathess,108,new
comorti,caltsio,57,new
bengsta,iningla,77,new
dispont,caltsio,60,new
kentsia,digiday,95,new
allopti,retsits,100,new
finglam,persica,116,new
loarlai,quingel,99,new
ancessa,comorti,88,new
commari,kentsia,115,new
kentsia,larshic,75,new
dispont,opelese,90,new
wilysta,spanoth,87,new
locidev,edisted,147,new
heashes,chanywa,123,new
maricts,agallea,62,new
clopect,spanoth,61,new
locidev,heashes,136,new
octeste,shaptur,128,new
chertin,howaymb,129,new
quarban,memsere,132,new
agallea,subvick,146,new
sersimi,defasom,54,new
defasom,plareed,69,new
splenne,numersi,65,new
grappor,caltsio,97,new
relysta,shaptur,58,new
asplati,numersi,52,new
loarlai,chanywa,84,new
allopti,octeste,121,new
mesects,finglam,137,new
vervide,octeste,143,new
mesimie,bomysta,111,new
wessish,rundsop,112,new
octeste,larshic,141,new
pariono,supplic,133,new
bomysta,mesterf,107,new
messago,shaptur,70,new
abysted,spanoth,71,new
messago,subvick,134,new
thramon,locidev,85,new
prompan,kentsia,113,new
currimi,retsits,148,new
grappor,splenne,135,new
proffin,ostallo,106,new
mervirs,amatera,93,new
comorti,thramon,73,new
mesterf,currimi,118,new
compide,octeste,138,new
pariono,quarban,120,new
mervirs,messago,80,new
mestead,commari,144,new
defasom,messago,78,new
sersimi,dispont,59,new
agallea,iningla,53,new
defasom,asplati,67,new
walthel,articlu,51,new
edisted,dakinge,127,new
systess,webruic,98,new
vervide,mesects,89,new
finglam,octeste,122,new
ancessa,supplic,150,new
retsits,mempise,109,new
edisted,dockles,125,new
grappor,cortsio,131,new
prothly,mesterf,117,new
numersi,pariono,64,new
locidev,nathess,140,new
forsith,defasom,63,new
sertsim,finglam,142,new
wilysta,cortsio,81,new
subvick,angessa,126,new
splenne,commari,94,new
prompan,afrithe,139,new
sersimi,allopti,76,new
forsith,mervirs,72,new
caltsio,witypro,96,new
agallea,allopti,79,new
mesects,dakinge,104,new
