stringA,stringB,itemNumber,type
systina,clarral,14,original
delpith,grashin,2,original
sounano,posiver,18,original
vernion,gramile,15,original
clester,dolsimp,41,original
tessina,prousup,48,original
domeave,shoureg,7,original
ausenus,throdyn,8,original
weastin,rembrob,38,original
exturea,limanol,16,original
anathly,shouges,5,original
arthrol,moutlem,24,original
slanoth,pervica,29,original
tatinse,suppopp,50,original
thervil,howinge,3,original
nothrog,montsim,11,original
hastems,pachang,34,original
montems,suption,12,original
avelian,thregul,13,original
mestins,devivar,32,original
engstin,filisma,31,original
slannet,probble,44,original
meentra,qualrev,47,original
telcout,jusessa,20,original
pargest,servica,4,original
proundi,pertice,33,original
suprovi,whetesi,45,original
devervi,dessaga,19,original
wiligna,materal,30,original
fityrud,sersice,43,original
raddreg,lifinta,6,original
groctsi,premser,10,original
himumma,anotain,46,original
prounds,rousent,35,original
togriva,worinta,21,original
becadev,howseri,22,original
belysty,sectori,39,original
bollyze,anceste,49,original
sanybon,incleas,25,original
partify,pritent,37,original
advical,trinche,36,original
commedi,englita,26,original
varketa,throuss,9,original
larlize,somersi,23,original
pranomp,arcents,40,original
suprega,refends,28,original
specity,deffent,17,original
morying,anottac,42,original
benervi,fainges,1,original
forings,strewri,27,original
benervi,pargest,61,new
togriva,anottac,114,new
incleas,benervi,75,new
howseri,montsim,70,new
rembrob,arthrol,91,new
engstin,rembrob,120,new
raddreg,whetesi,109,new
prounds,materal,94,new
meentra,belysty,128,new
sounano,sanybon,82,new
sersice,proundi,124,new
telcout,probble,121,new
himumma,rousent,123,new
clester,moutlem,102,new
pervica,exturea,87,new
anottac,moutlem,110,new
larlize,montems,68,new
dessaga,suprovi,144,new
incleas,montsim,73,new
whetesi,forings,122,new
throdyn,slanoth,53,new
forings,slannet,145,new
servica,whetesi,112,new
morying,telcout,95,new
grashin,strewri,59,new
sectori,limanol,101,new
partify,strewri,108,new
dessaga,thregul,67,new
thervil,gramile,62,new
pargest,becadev,56,new
bollyze,domeave,150,new
nothrog,bollyze,129,new
benervi,ausenus,76,new
tessina,pervica,148,new
telcout,prounds,92,new
servica,systina,72,new
moutlem,trinche,93,new
filisma,hastems,97,new
somersi,howinge,60,new
fityrud,lifinta,117,new
incleas,belysty,113,new
premser,gramile,54,new
meentra,moutlem,125,new
arthrol,proundi,100,new
wiligna,deffent,88,new
sanybon,engstin,119,new
somersi,benervi,71,new
varketa,avelian,65,new
devivar,anceste,137,new
probble,anotain,149,new
somersi,advical,106,new
materal,becadev,89,new
devervi,delpith,63,new
grashin,pertice,77,new
thervil,bollyze,134,new
anotain,suption,115,new
himumma,telcout,131,new
fityrud,slannet,133,new
whetesi,probble,136,new
varketa,anotain,105,new
trinche,specity,86,new
anceste,servica,107,new
pertice,proundi,96,new
commedi,premser,58,new
clarral,vernion,57,new
anotain,rembrob,141,new
limanol,howseri,90,new
wiligna,vernion,84,new
suption,clester,103,new
nothrog,qualrev,135,new
probble,incleas,130,new
commedi,weastin,98,new
suprovi,slannet,132,new
trinche,varketa,81,new
suption,delpith,66,new
delpith,becadev,55,new
thervil,prousup,140,new
vernion,suprovi,111,new
strewri,probble,139,new
ausenus,becadev,79,new
hastems,himumma,147,new
howinge,pertice,51,new
throdyn,ausenus,52,new
tessina,dolsimp,127,new
pranomp,exturea,99,new
exturea,clarral,74,new
domeave,prousup,143,new
dolsimp,englita,104,new
anottac,suprega,116,new
slanoth,benervi,78,new
anathly,pervica,80,new
specity,anceste,138,new
tatinse,sanybon,146,new
himumma,howseri,142,new
limanol,pargest,64,new
moutlem,vernion,85,new
morying,trinche,126,new
clarral,engstin,83,new
varketa,howseri,69,new
lifinta,morying,118,new
