stringA,stringB,itemNumber,type
mesimie,dakinge,23,original
mesterf,expisho,26,original
smadian,dispont,2,original
segessa,webruic,41,original
talisti,witypro,38,original
amatera,finglam,44,original
mestead,grappor,43,original
spanoth,allysti,15,original
pariono,abysted,11,original
caltsio,clopect,16,original
relysta,vervide,19,original
sertsim,compide,29,original
mesects,rundsop,35,original
crivere,uranged,12,original
systess,wilysta,25,original
plareed,throvic,20,original
opelese,quingel,45,original
scrunne,menclar,5,original
wessish,betwerv,18,original
angessa,dockles,31,original
afrithe,prothly,34,original
edisted,quarban,46,original
asplati,iningla,7,original
prensta,chanywa,32,original
thinatu,commari,30,original
allopti,walthel,10,original
engally,splenne,28,original
mempise,hignoth,9,original
articlu,loarlai,14,original
prompan,screnta,40,original
howaymb,retsits,48,original
proffic,nathess,47,original
numersi,messago,3,original
larshic,persica,6,original
comorti,tessigg,1,original
mervirs,sersimi,21,original
defasom,forsith,8,original
supplic,heashes,49,original
shaptur,thramon,17,original
locidev,kentsia,27,original
bomysta,chertin,36,original
disingu,perecti,33,original
strompa,agallea,13,original
currimi,memsere,37,original
proffin,tueredo,42,original
maricts,bengsta,4,original
gremsev,cortsio,24,original
micaust,ostallo,22,original
digiday,ancessa,39,original
subvick,octeste,50,original
expisho,afrithe,118,new
prompan,relysta,109,new
digiday,perecti,143,new
throvic,segessa,120,new
comorti,pariono,67,new
grappor,nathess,129,new
betwerv,crivere,65,new
commari,heashes,131,new
chanywa,perecti,103,new
sersimi,proffin,94,new
thramon,disingu,81,new
kentsia,dispont,54,new
heashes,menclar,117,new
shaptur,screnta,97,new
asplati,gremsev,51,new
hignoth,grappor,112,new
betwerv,forsith,61,new
tueredo,howaymb,138,new
ostallo,iningla,58,new
strompa,octeste,140,new
nathess,bomysta,134,new
rundsop,caltsio,86,new
betwerv,memsere,110,new
sersimi,bomysta,119,new
clopect,sertsim,82,new
mestead,defasom,95,new
scrunne,subvick,145,new
defasom,walthel,53,new
mesimie,numersi,79,new
segessa,finglam,122,new
shaptur,spanoth,72,new
bengsta,numersi,75,new
subvick,mestead,141,new
octeste,clopect,142,new
opelese,quarban,128,new
clopect,heashes,148,new
expisho,ostallo,85,new
sertsim,rundsop,105,new
screnta,articlu,92,new
throvic,kentsia,90,new
heashes,abysted,135,new
uranged,agallea,63,new
dockles,messago,73,new
grappor,octeste,123,new
proffin,loarlai,113,new
edisted,grappor,125,new
cortsio,quingel,150,new
edisted,dakinge,137,new
thramon,quarban,126,new
angessa,gremsev,115,new
ancessa,betwerv,116,new
talisti,grappor,147,new
allysti,mestead,107,new
asplati,defasom,52,new
webruic,prensta,130,new
expisho,hignoth,59,new
finglam,chertin,121,new
walthel,quingel,101,new
systess,webruic,114,new
uranged,opelese,99,new
chanywa,ostallo,108,new
nathess,wilysta,133,new
mempise,walthel,76,new
shaptur,persica,71,new
relysta,abysted,56,new
mempise,mesects,83,new
grappor,bengsta,96,new
persica,articlu,70,new
quarban,forsith,93,new
angessa,proffic,124,new
nathess,engally,149,new
plareed,comorti,69,new
chanywa,ancessa,104,new
defasom,persica,74,new
wessish,strompa,55,new
compide,systess,89,new
persica,proffin,111,new
grappor,sersimi,98,new
articlu,thramon,78,new
forsith,abysted,62,new
bengsta,larshic,66,new
dockles,smadian,60,new
webruic,screnta,132,new
dockles,mesimie,100,new
walthel,digiday,106,new
splenne,allopti,88,new
supplic,mestead,136,new
hignoth,abysted,77,new
sersimi,locidev,84,new
allysti,caltsio,80,new
currimi,loarlai,91,new
systess,disingu,102,new
engally,opelese,127,new
allopti,systess,64,new
articlu,loarlai,57,new
mesects,quingel,146,new
chertin,iningla,87,new
loarlai,comorti,68,new
edisted,dockles,139,new
mesterf,proffin,144,new
