stringA,stringB,itemNumber,type
weastin,rembrob,38,original
engstin,filisma,31,original
pertice,proundi,33,original
anceste,bollyze,49,original
mestins,devivar,32,original
whetesi,suprovi,45,original
tessina,prousup,48,original
domeave,shoureg,7,original
lifinta,raddreg,6,original
englita,commedi,26,original
sectori,belysty,39,original
hastems,pachang,34,original
vernion,gramile,15,original
slanoth,pervica,29,original
meentra,qualrev,47,original
slannet,probble,44,original
anotain,himumma,46,original
tatinse,suppopp,50,original
telcout,jusessa,20,original
avelian,thregul,13,original
exturea,limanol,16,original
refends,suprega,28,original
thervil,howinge,3,original
strewri,forings,27,original
pritent,partify,37,original
shouges,anathly,5,original
advical,trinche,36,original
togriva,worinta,21,original
fityrud,sersice,43,original
grashin,delpith,2,original
throdyn,ausenus,8,original
devervi,dessaga,19,original
posiver,sounano,18,original
varketa,throuss,9,original
becadev,howseri,22,original
wiligna,materal,30,original
benervi,fainges,1,original
moutlem,arthrol,24,original
morying,anottac,42,original
specity,deffent,17,original
suption,montems,12,original
montsim,nothrog,11,original
servica,pargest,4,original
dolsimp,clester,41,original
sanybon,incleas,25,original
prounds,rousent,35,original
clarral,systina,14,original
groctsi,premser,10,original
larlize,somersi,23,original
pranomp,arcents,40,original
fainges,suprega,65,new
benervi,anathly,80,new
howinge,deffent,67,new
whetesi,pervica,143,new
dolsimp,avelian,99,new
anottac,thregul,106,new
shouges,whetesi,101,new
hastems,shoureg,85,new
howinge,pertice,76,new
larlize,anathly,72,new
telcout,partify,118,new
bollyze,materal,126,new
arcents,morying,146,new
telcout,thregul,61,new
devivar,anathly,87,new
fityrud,tatinse,149,new
lifinta,posiver,73,new
rousent,wiligna,105,new
probble,incleas,134,new
domeave,dolsimp,108,new
sounano,qualrev,132,new
somersi,throdyn,74,new
pritent,morying,144,new
probble,meentra,148,new
engstin,varketa,89,new
suppopp,systina,125,new
groctsi,tessina,98,new
suption,sersice,111,new
bollyze,arcents,131,new
morying,weastin,137,new
mestins,suppopp,133,new
filisma,englita,117,new
rembrob,dessaga,96,new
grashin,rousent,81,new
benervi,mestins,69,new
nothrog,suppopp,123,new
commedi,worinta,83,new
pertice,suption,86,new
strewri,pachang,119,new
advical,whetesi,138,new
clester,commedi,110,new
sersice,groctsi,104,new
telcout,probble,129,new
sectori,belysty,122,new
servica,arthrol,77,new
lifinta,howinge,57,new
qualrev,thervil,113,new
refends,rembrob,109,new
anotain,belysty,147,new
sounano,raddreg,62,new
shouges,ausenus,68,new
dolsimp,dessaga,115,new
sanybon,engstin,116,new
pritent,posiver,94,new
meentra,filisma,128,new
pritent,belysty,127,new
proundi,ausenus,82,new
mestins,dolsimp,135,new
dolsimp,systina,91,new
lifinta,prounds,84,new
somersi,clarral,60,new
dessaga,suption,55,new
tessina,devivar,124,new
qualrev,worinta,150,new
pranomp,anceste,140,new
varketa,domeave,75,new
anathly,bollyze,139,new
clarral,tatinse,136,new
posiver,slannet,93,new
ausenus,posiver,54,new
anathly,sanybon,63,new
meentra,raddreg,100,new
devivar,sersice,145,new
larlize,domeave,64,new
forings,engstin,114,new
domeave,moutlem,56,new
rousent,morying,121,new
bollyze,worinta,142,new
shouges,sounano,70,new
benervi,exturea,71,new
raddreg,ausenus,59,new
proundi,pertice,120,new
sounano,becadev,90,new
varketa,anathly,58,new
proundi,weastin,102,new
moutlem,arcents,107,new
howseri,benervi,51,new
systina,raddreg,66,new
proundi,mestins,92,new
varketa,nothrog,52,new
pranomp,telcout,95,new
specity,englita,88,new
premser,shouges,53,new
pritent,dolsimp,141,new
larlize,clester,103,new
ausenus,devervi,78,new
trinche,togriva,112,new
refends,fityrud,130,new
howseri,proundi,97,new
lifinta,montsim,79,new
