stringA,stringB,itemNumber,type
spanoth,allysti,15,original
segessa,webruic,41,original
tueredo,proffin,42,original
talisti,witypro,38,original
edisted,quarban,46,original
perecti,disingu,33,original
persica,larshic,6,original
mesects,rundsop,35,original
retsits,howaymb,48,original
agallea,strompa,13,original
relysta,vervide,19,original
crivere,uranged,12,original
nathess,proffic,47,original
forsith,defasom,8,original
screnta,prompan,40,original
opelese,quingel,45,original
hignoth,mempise,9,original
chertin,bomysta,36,original
pariono,abysted,11,original
plareed,throvic,20,original
sersimi,mervirs,21,original
kentsia,locidev,27,original
mesterf,expisho,26,original
mestead,grappor,43,original
systess,wilysta,25,original
allopti,walthel,10,original
compide,sertsim,29,original
chanywa,prensta,32,original
numersi,messago,3,original
comorti,tessigg,1,original
articlu,loarlai,14,original
dakinge,mesimie,23,original
prothly,afrithe,34,original
micaust,ostallo,22,original
finglam,amatera,44,original
commari,thinatu,30,original
shaptur,thramon,17,original
dispont,smadian,2,original
iningla,asplati,7,original
dockles,angessa,31,original
gremsev,cortsio,24,original
maricts,bengsta,4,original
digiday,ancessa,39,original
subvick,octeste,50,original
menclar,scrunne,5,original
clopect,caltsio,16,original
currimi,memsere,37,original
betwerv,wessish,18,original
supplic,heashes,49,original
engally,splenne,28,original
mesterf,currimi,109,new
agallea,maricts,74,new
articlu,crivere,67,new
comorti,hignoth,52,new
quarban,smadian,117,new
wilysta,bengsta,59,new
asplati,quingel,107,new
comorti,mesimie,53,new
tueredo,chanywa,122,new
engally,wessish,85,new
witypro,plareed,114,new
currimi,chertin,124,new
kentsia,quarban,140,new
forsith,allopti,51,new
prompan,relysta,92,new
comorti,scrunne,55,new
hignoth,supplic,148,new
bengsta,proffic,115,new
thramon,larshic,65,new
angessa,digiday,143,new
hignoth,menclar,61,new
memsere,howaymb,141,new
bengsta,dockles,84,new
mempise,systess,76,new
quingel,angessa,125,new
bomysta,kentsia,97,new
grappor,ancessa,145,new
prensta,digiday,129,new
segessa,quarban,123,new
proffin,smadian,119,new
commari,pariono,87,new
talisti,dockles,118,new
disingu,afrithe,99,new
clopect,mestead,100,new
digiday,thinatu,110,new
sertsim,strompa,82,new
prompan,thinatu,127,new
chertin,micaust,102,new
perecti,disingu,98,new
loarlai,micaust,71,new
betwerv,chertin,88,new
currimi,nathess,142,new
segessa,chanywa,149,new
shaptur,tessigg,72,new
splenne,prothly,105,new
heashes,defasom,104,new
maricts,mesimie,78,new
kentsia,clopect,86,new
proffic,amatera,137,new
chertin,mervirs,113,new
strompa,tueredo,93,new
compide,smadian,69,new
howaymb,cortsio,130,new
iningla,messago,77,new
asplati,quarban,112,new
mestead,disingu,128,new
mervirs,mesimie,90,new
wessish,larshic,75,new
abysted,thramon,60,new
menclar,splenne,68,new
edisted,locidev,133,new
loarlai,allysti,73,new
heashes,grappor,134,new
howaymb,relysta,126,new
loarlai,throvic,58,new
engally,kentsia,111,new
supplic,octeste,150,new
witypro,memsere,121,new
rundsop,ostallo,94,new
opelese,currimi,132,new
tessigg,strompa,57,new
grappor,asplati,103,new
relysta,strompa,70,new
messago,menclar,66,new
tueredo,betwerv,101,new
octeste,prompan,131,new
bengsta,menclar,54,new
mestead,throvic,120,new
proffic,pariono,139,new
asplati,iningla,62,new
expisho,talisti,96,new
subvick,smadian,138,new
perecti,quarban,135,new
prompan,walthel,95,new
dispont,tessigg,64,new
amatera,witypro,146,new
expisho,hignoth,56,new
perecti,larshic,89,new
iningla,loarlai,63,new
prensta,wilysta,116,new
octeste,quarban,147,new
nathess,betwerv,91,new
witypro,caltsio,106,new
defasom,forsith,79,new
walthel,compide,81,new
mervirs,kentsia,83,new
locidev,sertsim,108,new
octeste,currimi,136,new
dockles,heashes,144,new
splenne,mempise,80,new
