stringA   rate      time      
stringA   rate      time      
amatera   0.0       3158      
amatera   0.0       22        
amatera   0.0       22        
amatera   0.0       22        
amatera   0.0       22        
amatera   0.0       22        
amatera   0.0       22        
amatera   0.0       22        
amatera   0.0       22        
amatera   0.0       22        
amatera   0.0       22        
amatera   0.0       22        
amatera   0.0       22        
amatera   0.0       22        
amatera   0.0       22        
amatera   5.6       22        
amatera   23.2      22        
amatera   38.2      22        
amatera   48.0      37        
amatera   50.4      48        
amatera   50.4      23        
amatera   50.6      22        
amatera   51.2      22        
amatera   52.2      22        
amatera   53.2      22        
amatera   54.0      22        
amatera   54.4      22        
amatera   54.4      22        
amatera   54.4      22        
amatera   54.4      22        
amatera   54.4      3         
tessigg   50.8      810       
tessigg   50.8      26        
tessigg   50.8      22        
tessigg   50.8      22        
tessigg   50.8      22        
tessigg   50.8      22        
tessigg   50.2      22        
tessigg   49.6      22        
tessigg   49.6      22        
tessigg   49.2      22        
tessigg   48.6      22        
tessigg   47.4      22        
tessigg   45.4      22        
tessigg   42.2      22        
tessigg   41.4      22        
tessigg   41.2      22        
tessigg   41.2      22        
tessigg   40.2      22        
tessigg   39.4      22        
tessigg   39.2      22        
tessigg   39.0      22        
tessigg   39.0      5         
cortsio   53.8      668       
cortsio   53.8      22        
cortsio   53.8      23        
cortsio   53.8      22        
cortsio   53.8      22        
cortsio   53.8      22        
cortsio   53.8      22        
cortsio   53.8      22        
cortsio   53.8      22        
cortsio   53.8      22        
cortsio   53.8      22        
cortsio   54.8      22        
cortsio   60.4      22        
cortsio   64.8      22        
cortsio   65.6      22        
cortsio   65.6      19        
mesterf   49.6      596       
mesterf   49.6      22        
mesterf   49.6      22        
mesterf   49.6      63        
mesterf   48.0      22        
mesterf   46.4      22        
mesterf   45.2      22        
mesterf   44.4      22        
mesterf   43.6      22        
mesterf   42.2      22        
mesterf   40.2      22        
mesterf   37.6      23        
mesterf   35.8      22        
mesterf   35.4      22        
mesterf   35.4      22        
mesterf   35.4      8         
articlu   51.6      528       
articlu   51.6      22        
articlu   51.6      22        
articlu   51.6      22        
articlu   51.6      22        
articlu   51.6      22        
articlu   51.6      22        
articlu   51.6      22        
articlu   51.6      22        
articlu   53.4      22        
articlu   60.0      63        
articlu   60.0      8         
prompan   48.6      807       
prompan   48.6      22        
prompan   48.6      22        
prompan   48.6      22        
prompan   48.6      22        
prompan   48.6      22        
prompan   48.6      22        
prompan   48.6      22        
prompan   48.6      38        
prompan   44.4      43        
prompan   40.0      27        
prompan   38.2      22        
prompan   37.6      22        
prompan   36.6      22        
prompan   35.6      22        
prompan   34.0      22        
prompan   31.8      23        
prompan   30.2      23        
prompan   30.0      22        
prompan   30.0      19        
iningla   51.6      960       
iningla   51.6      22        
iningla   51.6      22        
iningla   51.6      23        
iningla   51.6      22        
iningla   51.6      23        
iningla   51.6      23        
iningla   51.6      22        
iningla   51.6      22        
iningla   53.0      22        
iningla   57.2      22        
iningla   61.8      22        
iningla   64.0      23        
iningla   64.0      22        
bomysta   47.2      801       
bomysta   47.2      22        
bomysta   47.2      22        
bomysta   47.2      22        
bomysta   47.2      22        
bomysta   47.2      22        
bomysta   47.0      22        
bomysta   45.2      22        
bomysta   43.2      22        
bomysta   40.4      22        
bomysta   37.6      22        
bomysta   35.6      22        
bomysta   34.6      23        
bomysta   34.4      10        
witypro   55.4      598       
witypro   55.4      59        
witypro   55.4      32        
witypro   55.4      25        
witypro   55.2      23        
witypro   50.4      22        
witypro   43.4      22        
witypro   40.4      22        
witypro   40.4      22        
witypro   40.4      22        
witypro   40.8      22        
witypro   45.0      22        
witypro   53.6      22        
witypro   62.4      22        
witypro   68.2      22        
witypro   69.2      22        
witypro   69.2      22        
witypro   69.2      22        
witypro   69.2      22        
witypro   69.2      11        
compide   50.4      1120      
compide   50.4      23        
compide   50.4      23        
compide   50.4      23        
compide   50.4      23        
compide   50.4      24        
compide   50.4      23        
compide   49.6      24        
compide   45.2      23        
compide   39.6      24        
compide   36.0      24        
compide   35.8      23        
compide   35.8      23        
compide   35.8      23        
compide   35.8      23        
compide   35.8      10        
